## comp=100%:color=1
## comp=0%: color=2
## comp<50%:color=3
## comp>50%:color=4


Vertex		Compression Color

0		4
1		3
2		4
3		4
4		4
5		4
6		4
7		3
8		3
9		4
10		3
11		2
12		2
13		4
14		4
15		2
16		4
17		3
18		2
19		3
20		4
21		3
22		3
23		4
24		4
25		4
26		4
27		3
28		4
29		4
30		4
31		4
32		3
33		2
34		3
35		2
36		2
37		2
38		4
39		4
40		4
41		4
42		2
43		2
44		3
45		4
46		2
47		3
48		4
49		2
50		3
51		3
52		2
53		4
54		3
55		4
56		4
57		3
58		3
59		4
60		4
61		3
62		4
63		4
64		3
65		4
66		4
67		4
68		2
69		4
70		3
71		3
72		4
73		3
74		2
75		4
76		4
77		3
78		4
79		4
80		4
81		4
82		4
83		3
84		4
85		4
86		2
87		3
88		4
89		4
90		2
91		3
92		4
93		3
94		4
95		4
96		4
97		3
98		4
99		2
100		4
101		4
102		2
103		4
104		4
105		3
106		3
107		3
108		3
109		4
110		3
111		3
112		3
113		4
114		2
115		4
116		4
117		3
118		4
119		4
120		3
121		4
122		4
123		4
124		3
125		3
126		3
127		3
128		4
129		3
130		3
131		2
132		3
133		4
134		4
135		2
136		4
137		3
138		3
139		2
140		4
141		4
142		4
143		2
144		4
145		2
146		3
147		4
148		4
149		4
150		3
151		3
152		4
153		2
154		3
155		3
156		4
157		4
158		4
159		3
160		3
161		4
162		4
163		3
164		3
165		4
166		3
167		3
168		3
169		4
170		4
171		3
172		3
173		3
174		3
175		3
176		4
177		2
178		3
179		2
180		4
181		4
182		2
183		2
184		3
185		4
186		4
187		4
188		4
189		3
190		3
191		4
192		3
193		3
194		4
195		4
196		4
197		3
198		3
199		4
200		4
201		3
202		3
203		4
204		4
205		2
206		4
207		4
208		3
209		2
210		2
211		4
212		4
213		4
214		4
215		2
216		2
217		3
218		4
219		4
220		3
221		4
222		4
223		4
224		4
225		2
226		4
227		3
228		3
229		3
230		3
231		4
232		4
233		2
234		3
235		4
236		4
237		3
238		4
239		4
240		3
